"statefips","countyfips","year","total_population","total_housing_units","median_housing_value","median_household_income","percent_families_with_children","county_name","state_name","state_code","total_single_family_households_since_2000","total_single_family_households_before_2000","total_2_to_4_family_households_since_2000","total_2_to_4_family_households_before_2000","total_5_to_19_family_households_since_2000","total_5_to_19_family_households_before_2000","total_20_to_49_family_households_since_2000","total_20_to_49_family_households_before_2000","total_50_or_more_family_households_since_2000","total_50_or_more_family_households_before_2000","total_owner_occupied","total_renter_occupied","median_gross_rent_as_a_percentage_of_household_income","area_type","county_name_state_code","series_id","period","cpi_index","cpi_indexed_2016","group"
51,"685","2016",15827,4892,257800,75027,56.17,"Manassas Park city","Virginia","VA",522,3106,0,71,225,111,273,58,338,17,3112,1618,27.7,"Exurban","Manassas Park city, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Manassas Park city, VA"
51,"061","2016",68025,26241,363800,91221,41.41,"Fauquier County","Virginia","VA",5200,16616,70,356,129,672,71,112,83,185,18660,5230,27.8,"Exurban","Fauquier County, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Fauquier County, VA"
51,"107","2016",362435,122490,462100,125672,59.19,"Loudoun County","Virginia","VA",44219,53293,535,1195,3962,7789,928,879,2374,1172,90656,26417,28.1,"Exurban","Loudoun County, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Loudoun County, VA"
51,"187","2016",38807,16146,223300,63734,40.49,"Warren County","Virginia","VA",2584,10089,0,559,19,598,0,9,0,65,10737,3437,29.3,"Exurban","Warren County, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Warren County, VA"
54,"037","2016",55531,22573,215300,69753,42.42,"Jefferson County","West Virginia","WV",5288,12193,22,509,127,807,0,96,0,86,15324,5310,29.5,"Exurban","Jefferson County, WV","CUUR0100AA0","M13",401.31,1,"Exurban-Jefferson County, WV"
24,"021","2016",243465,93645,306100,85715,46.52,"Frederick County","Maryland","MD",15833,58485,86,2219,1501,6939,422,945,820,1188,65946,23049,29.8,"Exurban","Frederick County, MD","CUUR0100AA0","M13",401.31,1,"Exurban-Frederick County, MD"
51,"630","2016",27853,11387,321500,53980,50.74,"Fredericksburg city","Virginia","VA",1612,3491,0,771,346,2585,347,495,155,469,3575,6696,30.3,"Exurban","Fredericksburg city, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Fredericksburg city, VA"
24,"009","2016",90527,34613,344300,96808,43.06,"Calvert County","Maryland","MD",6702,22491,67,516,97,458,112,146,268,305,25783,5696,30.5,"Exurban","Calvert County, MD","CUUR0100AA0","M13",401.31,1,"Exurban-Calvert County, MD"
51,"153","2016",443630,144314,345900,98546,54.49,"Prince William County","Virginia","VA",40093,73718,481,1867,3093,12588,1138,968,1072,1546,98292,39810,31.1,"Exurban","Prince William County, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Prince William County, VA"
51,"043","2016",14307,6283,333000,71986,35.62,"Clarke County","Virginia","VA",1153,3945,0,135,21,137,13,31,13,129,4162,1429,31.2,"Exurban","Clarke County, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Clarke County, VA"
51,"157","2016",7416,3950,362100,58026,29.31,"Rappahannock County","Virginia","VA",441,2730,0,19,0,16,0,0,0,0,2412,835,31.2,"Exurban","Rappahannock County, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Rappahannock County, VA"
51,"683","2016",41149,13385,293500,74371,47.99,"Manassas city","Virginia","VA",846,7908,31,489,121,2283,123,58,108,286,7727,4703,31.7,"Exurban","Manassas city, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Manassas city, VA"
51,"179","2016",139548,46427,314800,97528,50.34,"Stafford County","Virginia","VA",13373,26319,57,287,628,1947,54,194,241,183,33330,10981,32,"Exurban","Stafford County, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Stafford County, VA"
51,"177","2016",129181,46263,252900,79742,45.46,"Spotsylvania County","Virginia","VA",11705,25741,65,288,747,858,357,269,209,669,33249,9856,32.1,"Exurban","Spotsylvania County, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Spotsylvania County, VA"
24,"017","2016",154357,58014,287600,91373,46.02,"Charles County","Maryland","MD",12481,36167,203,728,609,1014,619,605,574,484,41874,12231,32.8,"Exurban","Charles County, MD","CUUR0100AA0","M13",401.31,1,"Exurban-Charles County, MD"
51,"047","2016",48952,18134,255000,66160,44.4,"Culpeper County","Virginia","VA",4695,9986,25,375,177,969,37,120,24,51,12118,4786,33.1,"Exurban","Culpeper County, VA","CUUR0100AA0","M13",401.31,1,"Exurban-Culpeper County, VA"
51,"059","2016",1132887,411072,516800,114329,48.4,"Fairfax County","Virginia","VA",31132,250562,666,6080,6041,52105,2354,8586,12010,21599,265351,128007,28.1,"Suburban","Fairfax County, VA","CUUR0100AA0","M13",401.31,1,"Suburban-Fairfax County, VA"
51,"610","2016",13597,5709,724000,115244,48.93,"Falls Church city","Virginia","VA",277,2717,0,82,33,449,51,144,514,1034,3162,2139,29.1,"Suburban","Falls Church city, VA","CUUR0100AA0","M13",401.31,1,"Suburban-Falls Church city, VA"
51,"600","2016",23620,8801,487700,104065,39.36,"Fairfax city","Virginia","VA",718,5667,25,86,45,1485,15,67,89,279,5992,2484,30.4,"Suburban","Fairfax city, VA","CUUR0100AA0","M13",401.31,1,"Suburban-Fairfax city, VA"
24,"031","2016",1026371,385485,460100,100352,47.75,"Montgomery County","Maryland","MD",25827,220275,848,5894,5180,48025,2423,7709,15106,35728,241201,126563,30.5,"Suburban","Montgomery County, MD","CUUR0100AA0","M13",401.31,1,"Suburban-Montgomery County, MD"
24,"033","2016",897693,330708,261400,75925,43.39,"Prince George's County","Maryland","MD",28868,181143,463,5751,3449,59944,1508,4565,5568,14084,189084,117627,30.9,"Suburban","Prince George's County, MD","CUUR0100AA0","M13",401.31,1,"Suburban-Prince George's County, MD"
51,"013","2016",226092,110763,623300,108706,45.11,"Arlington County","Virginia","VA",3057,35680,196,4750,1133,11965,979,4056,12817,25928,44531,56176,26.6,"Urban","Arlington County, VA","CUUR0100AA0","M13",401.31,1,"Urban-Arlington County, VA"
51,"510","2016",151473,75087,520700,89200,44.16,"Alexandria city","Virginia","VA",2137,22675,194,2750,851,14167,663,2886,4872,16819,28710,39353,28.2,"Urban","Alexandria city, VA","CUUR0100AA0","M13",401.31,1,"Urban-Alexandria city, VA"
11,"001","2016",659009,306711,506100,72935,43.27,"District of Columbia","District of Columbia","DC",5532,98590,1840,25710,3622,44974,2751,19979,18270,55155,112672,163874,29.4,"Urban","District of Columbia, DC","CUUR0100AA0","M13",401.31,1,"Urban-District of Columbia, DC"
