"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20001","District of Columbia",NA,11,"001",6373,12365,0.52,0.01,53,5602,61.048,5795010.17681645,5795010.17681645,1,"12036"
"20002","District of Columbia",NA,11,"001",4148,22053,0.19,0.06,229,12096,61.048,14223802.9300222,14223802.9300222,1,"12036"
"20003","District of Columbia",NA,11,"001",3262,9132,0.36,0.12,377,5845,61.048,6467487.2306837,6467487.2306837,1,"12036"
"20004","District of Columbia",NA,11,"001",508,655,0.78,0,0,0,61.048,894694.938347777,894694.938347777,1,"642"
"20005","District of Columbia",NA,11,"001",2033,6139,0.33,0.01,23,449,61.048,1132684.48341241,1132684.48341241,1,"12036"
"20006","District of Columbia",NA,11,"001",33,583,0.06,0,0,8,61.048,918103.727879524,918103.727879524,1,"156"
"20007","District of Columbia",NA,11,"001",329,11556,0.03,0.35,114,5465,61.048,9147943.9090405,9147950.30093496,1.00000069872471,"642"
"20007","Arlington","County",51,"013",329,11556,0.03,0.35,114,5465,25.974,9147943.9090405,2.21631234884262,2.42274370162277e-07,"642"
"20008","District of Columbia",NA,11,"001",577,15034,0.04,0.13,75,3405,61.048,7934014.35088521,7934014.35088521,1,"642"
"20009","District of Columbia",NA,11,"001",3332,23838,0.14,0.03,114,3715,61.048,3440816.01026237,3440816.01026237,1,"12036"
"20010","District of Columbia",NA,11,"001",1270,11323,0.11,0.03,44,4199,61.048,2810689.6595735,2810689.6595735,1,"1942"
"20011","Montgomery","County",24,"031",1213,23075,0.05,0.09,107,13612,491.254,12660480.7999454,1.53183937072754e-05,1.20993775428667e-12,"1942"
"20011","District of Columbia",NA,11,"001",1213,23075,0.05,0.09,107,13612,61.048,12660480.7999454,12660466.3018587,0.999998854854972,"1942"
"20011","Prince George's","County",24,"033",1213,23075,0.05,0.09,107,13612,482.691,12660480.7999454,1.18751108522015,9.37966814992739e-08,"1942"
"20012","Montgomery","County",24,"031",286,5659,0.05,0.05,13,3658,491.254,5803079.64819336,15.5933281779289,2.68707809012815e-06,"642"
"20012","District of Columbia",NA,11,"001",286,5659,0.05,0.05,13,3658,61.048,5803079.64819336,5803097.15997553,1.00000301767048,"642"
"20015","District of Columbia",NA,11,"001",389,6048,0.06,0.12,48,4560,61.048,8925388.95455337,8924431.45925066,0.999892722288341,"642"
"20015","Montgomery","County",24,"031",389,6048,0.06,0.12,48,4560,491.254,8925388.95455337,11.4889633655548,1.28722271085941e-06,"642"
"20016","District of Columbia",NA,11,"001",646,13111,0.05,0.33,213,6788,61.048,11927452.3369294,11927441.3502834,0.999999078877388,"1942"
"20016","Montgomery","County",24,"031",646,13111,0.05,0.33,213,6788,491.254,11927452.3369294,0.00125785984078428,1.05459221739225e-10,"1942"
"20016","Arlington","County",51,"013",646,13111,0.05,0.33,213,6788,25.974,11927452.3369294,3.29461789131165,2.76221425853947e-07,"1942"
"20017","Prince George's","County",24,"033",682,6947,0.1,0.5,341,4766,482.691,5705564.79410224,1.18287188403161,2.07318981856859e-07,"1942"
"20017","District of Columbia",NA,11,"001",682,6947,0.1,0.5,341,4766,61.048,5705564.79410224,5705551.60867786,0.999997689023813,"1942"
"20018","Prince George's","County",24,"033",1067,6815,0.16,0.46,490,4880,482.691,7834941.73360515,91.163010597229,1.16354420615814e-05,"1942"
"20018","District of Columbia",NA,11,"001",1067,6815,0.16,0.46,490,4880,61.048,7834941.73360515,7834941.73360515,1,"1942"
"20019","District of Columbia",NA,11,"001",2770,20695,0.13,0.42,1153,10906,61.048,16827648.5829098,16827435.0886675,0.999987312889187,"12036"
"20019","Prince George's","County",24,"033",2770,20695,0.13,0.42,1153,10906,482.691,16827648.5829098,58.3081265687943,3.46501926763624e-06,"12036"
"20020","Prince George's","County",24,"033",2505,18624,0.13,0.46,1143,7671,482.691,12317651.7462729,24.5028921206197,1.9892502747558e-06,"12036"
