"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20105","Loudoun","County",51,"107",4893,740,6.61,0.93,4547,5233,515.561,97119079.0998353,97004788.6431253,0.998823192540854,"12036"
"20109","Loudoun","County",51,"107",2140,10949,0.2,0.5,1061,7340,515.561,53259552.8967605,6841.06587702036,0.000128447677551504,"12036"
"20115","Loudoun","County",51,"107",481,1717,0.28,0.96,463,2113,515.561,247617805.868171,28093.9909477383,0.000113457070864667,"642"
"20117","Loudoun","County",51,"107",163,983,0.17,0.86,140,1029,515.561,117310616.073202,104360495.844761,0.889608283871254,"642"
"20118","Loudoun","County",51,"107",0,2,0,0,0,2,515.561,15748.1495354176,15748.1495354176,1,"156"
"20120","Loudoun","County",51,"107",2067,11577,0.18,0.8,1653,11506,515.561,45250137.9581774,2329491.69495106,0.0514803224932507,"12036"
"20129","Loudoun","County",51,"107",59,177,0.33,1,59,236,515.561,8311214.88040271,8311214.88040271,1,"156"
"20130","Loudoun","County",51,"107",7,115,0.06,1,7,122,515.561,21512093.4984629,86377.5247519314,0.00401530073110286,"156"
"20132","Loudoun","County",51,"107",2299,2988,0.77,0.95,2188,5002,515.561,216575002.744151,216569086.82411,0.999972684197317,"12036"
"20135","Loudoun","County",51,"107",177,1026,0.17,1,177,1196,515.561,117057876.965921,40150209.664679,0.342994514383411,"642"
"20141","Loudoun","County",51,"107",886,1113,0.8,1,886,1995,515.561,71254887.2575333,71254887.2575333,0.999999999999999,"1942"
"20143","Loudoun","County",51,"107",98,283,0.35,1,98,381,515.561,20120551.5760258,45029.158331234,0.00223796838576173,"156"
"20147","Loudoun","County",51,"107",9774,11701,0.84,0.71,6894,15957,515.561,52295060.5249333,52295059.0638,0.999999972059821,"12036"
"20148","Loudoun","County",51,"107",12036,2132,5.65,0.88,10626,12400,515.561,43752935.2469335,43752935.2469335,1,"12036"
"20152","Loudoun","County",51,"107",6934,3003,2.31,0.98,6803,9470,515.561,65363017.1169919,65148750.9270165,0.996721904841205,"12036"
"20158","Loudoun","County",51,"107",523,823,0.64,0.95,498,1310,515.561,37915130.8496085,37915130.8496085,1,"642"
"20164","Loudoun","County",51,"107",728,11748,0.06,0.69,503,10555,515.561,19264591.4305302,19262402.7991791,0.999886390980104,"1942"
"20165","Loudoun","County",51,"107",2100,9161,0.23,0.68,1438,9512,515.561,25850254.1350423,25840163.8403315,0.999609663616533,"12036"
"20166","Loudoun","County",51,"107",1872,1729,1.08,0.68,1276,2386,515.561,45795654.3031704,45768661.2031052,0.999410575075823,"1942"
"20169","Loudoun","County",51,"107",5490,1982,2.77,0.96,5297,7270,515.561,83823014.7660463,87333.3112736107,0.00104187747860611,"12036"
"20170","Loudoun","County",51,"107",1693,11600,0.15,0.62,1042,10263,515.561,22879862.4368663,31344.3192024305,0.00136995225775158,"1942"
"20175","Loudoun","County",51,"107",4178,6983,0.6,0.81,3386,8950,515.561,163711091.413989,163711091.413989,1,"12036"
"20176","Loudoun","County",51,"107",8442,8387,1.01,0.84,7085,12708,515.561,148765692.3985,148765696.788017,1.00000002950625,"12036"
"20180","Loudoun","County",51,"107",931,1492,0.62,1,928,2371,515.561,111169793.923558,111169794.14795,1.00000000201846,"1942"
"20184","Loudoun","County",51,"107",43,392,0.11,1,43,435,515.561,103450351.524522,59559970.5022712,0.575734829553993,"156"
"20197","Loudoun","County",51,"107",333,321,1.04,1,333,654,515.561,35162611.748394,35162611.748394,1,"642"
"20198","Loudoun","County",51,"107",107,872,0.12,1,107,979,515.561,189486664.619847,19028.1622993474,0.000100419532622637,"156"
"20837","Loudoun","County",51,"107",242,1756,0.14,1,242,1985,515.561,118529174.142168,6.52793187694624,5.50744736406954e-08,"642"
"20842","Loudoun","County",51,"107",73,634,0.12,0.81,59,693,515.561,144607550.591817,4.57939675450325,3.16677568755001e-08,"156"
"20874","Loudoun","County",51,"107",3633,18227,0.2,0.61,2207,14456,515.561,58459166.0035546,0,0,"12036"
"21716","Loudoun","County",51,"107",245,1611,0.15,1,245,1493,515.561,10122655.6604268,2.0695630684495,2.04448628687449e-07,"642"
"21755","Loudoun","County",51,"107",163,1828,0.09,0.92,150,1912,515.561,90883870.8421615,3.814697265625e-06,4.19733141895992e-14,"642"
"21758","Loudoun","County",51,"107",454,1321,0.34,1,454,1762,515.561,90602760.6458733,0.176412296245383,1.94709625830168e-09,"642"
"21777","Loudoun","County",51,"107",229,376,0.61,1,229,605,515.561,7826135.61538082,0,0,"642"
"22066","Loudoun","County",51,"107",830,5009,0.17,1,830,5839,515.561,70599497.7739723,660938.767071366,0.00936180550727703,"1942"
"25425","Loudoun","County",51,"107",1161,3600,0.32,1,1161,4558,515.561,107294328.370403,0.3870409748176,3.60728270259963e-09,"1942"
