"region_code","region_name"
"00000","Metro Area"
"11001","Washington, DC"
"24009","Calvert County, MD"
"24017","Charles County, MD"
"24021","Frederick County, MD"
"24031","Montgomery County, MD"
"24033","Prince George's County, MD"
"51013","Arlington County, VA"
"51043","Clarke County, VA"
"51047","Culpeper County, VA"
"51059","Fairfax County, VA"
"51061","Fauquier County, VA"
"51107","Loudoun County, VA"
"51153","Prince William County, VA"
"51157","Rappahannock County, VA"
"51177","Spotsylvania County, VA"
"51179","Stafford County, VA"
"51187","Warren County, VA"
"51510","Alexandria city, VA"
"51600","Fairfax city, VA"
"51610","Falls Church city, VA"
"51630","Fredericksburg city, VA"
"51683","Manassas city, VA"
"51685","Manassas Park city, VA"
"54037","Jefferson County, WV"
