"","YEAR","COUNTYA","STATEA","median_gross_rent","real_med_gross_rent"
"1",1980,1,11,226,688.847359902893
"2",1980,9,24,259,789.431266437386
"3",1980,17,24,274,835.151223953065
"4",1980,21,24,265,807.719249443658
"5",1980,31,24,342,1042.41503135748
"6",1980,33,24,295,899.159164475015
"7",1980,13,51,303,923.54314181671
"8",1980,43,51,215,655.319391058062
"9",1980,47,51,226,688.847359902893
"10",1980,59,51,352,1072.89500303459
"11",1980,61,51,267,813.815243779081
"12",1980,107,51,313,954.02311349383
"13",1980,153,51,308,938.78312765527
"14",1980,157,51,194,591.311450536112
"15",1980,177,51,262,798.575257940522
"16",1980,179,51,312,950.975116326118
"17",1980,187,51,206,627.887416548655
"18",1980,510,51,325,990.599079506373
"19",1980,600,51,335,1021.07905118349
"20",1980,610,51,368,1121.66295771798
"21",1980,630,51,246,749.807303257131
"22",1980,683,51,295,899.159164475015
"23",1980,685,51,331,1008.88706251264
"24",1980,37,54,200,609.599433542383
"25",1981,NA,NA,NA,NA
"26",1982,NA,NA,NA,NA
"27",1983,NA,NA,NA,NA
"28",1984,NA,NA,NA,NA
"29",1985,NA,NA,NA,NA
"30",1986,NA,NA,NA,NA
"31",1987,NA,NA,NA,NA
"32",1988,NA,NA,NA,NA
"33",1989,NA,NA,NA,NA
"34",1990,1,11,479,920.560463039735
"35",1990,9,24,664,1276.10051661458
"36",1990,17,24,690,1326.0683079278
"37",1990,21,24,558,1072.38567510683
"38",1990,31,24,740,1422.16021429938
"39",1990,33,24,642,1233.82007781108
"40",1990,13,51,703,1351.05220358441
"41",1990,43,51,441,847.530614197334
"42",1990,47,51,514,987.824797499841
"43",1990,59,51,834,1602.81299827795
"44",1990,61,51,634,1218.44537279163
"45",1990,107,51,813,1562.45439760189
"46",1990,153,51,736,1414.47286178965
"47",1990,157,51,413,793.719146629249
"48",1990,177,51,684,1314.53727916321
"49",1990,179,51,669,1285.70970725174
"50",1990,187,51,407,782.18811786466
"51",1990,510,51,701,1347.20852732955
"52",1990,600,51,823,1581.6727788762
"53",1990,610,51,809,1554.76704509216
"54",1990,630,51,530,1018.57420753875
"55",1990,683,51,695,1335.67749856496
"56",1990,685,51,739,1420.23837617195
"57",1990,37,54,376,722.61113591428
"58",1991,NA,NA,NA,NA
"59",1992,NA,NA,NA,NA
"60",1993,NA,NA,NA,NA
"61",1994,NA,NA,NA,NA
"62",1995,NA,NA,NA,NA
"63",1996,NA,NA,NA,NA
"64",1997,NA,NA,NA,NA
"65",1998,NA,NA,NA,NA
"66",1999,NA,NA,NA,NA
"67",2000,1,11,618,901.218845279001
"68",2000,9,24,837,1220.58280501379
"69",2000,17,24,858,1251.20674635822
"70",2000,21,24,719,1048.50542031651
"71",2000,31,24,914,1332.87058994338
"72",2000,33,24,737,1074.75451289745
"73",2000,13,51,897,1308.0797802836
"74",2000,43,51,625,911.426825727145
"75",2000,47,51,603,879.34460146155
"76",2000,59,51,998,1455.36635532111
"77",2000,61,51,705,1028.08945942022
"78",2000,107,51,954,1391.20190678991
"79",2000,153,51,862,1257.03987804288
"80",2000,157,51,599,873.511469776896
"81",2000,177,51,805,1173.91775153656
"82",2000,179,51,842,1227.87421961961
"83",2000,187,51,531,774.348231137783
"84",2000,510,51,861,1255.58159512172
"85",2000,600,51,945,1378.07736049944
"86",2000,610,51,965,1407.24301892271
"87",2000,630,51,651,949.342181677394
"88",2000,683,51,801,1168.08461985191
"89",2000,685,51,930,1356.20311668199
"90",2000,37,54,496,723.308328897062
"91",2001,NA,NA,NA,NA
"92",2002,NA,NA,NA,NA
"93",2003,NA,NA,NA,NA
"94",2004,NA,NA,NA,NA
"95",2005,NA,NA,NA,NA
"96",2006,NA,NA,NA,NA
"97",2007,NA,NA,NA,NA
"98",2008,NA,NA,NA,NA
"99",2009,NA,NA,NA,NA
"100",2010,NA,NA,NA,NA
"101",2011,1,11,971,1084.02495891186
"102",2011,9,24,1202,1341.91349187648
"103",2011,17,24,1215,1356.42669935934
"104",2011,21,24,1084,1210.17822395516
"105",2011,31,24,1372,1531.70158972923
"106",2011,33,24,1109,1238.08823834527
"107",2011,13,51,1462,1632.17764153362
"108",2011,43,51,956,1067.2789502778
"109",2011,47,51,926,1033.78693300967
"110",2011,59,51,1452,1621.01363577758
"111",2011,61,51,1132,1263.76545158417
"112",2011,107,51,1473,1644.45804786527
"113",2011,153,51,1284,1433.45833907604
"114",2011,157,51,897,1001.41131631714
"115",2011,177,51,1145,1278.27865906703
"116",2011,179,51,1238,1382.10391259824
"117",2011,187,51,745,831.718428825272
"118",2011,510,51,1279,1427.87633619802
"119",2011,600,51,1485,1657.85485477252
"120",2011,610,51,1323,1476.99796152461
"121",2011,630,51,979,1092.9561635167
"122",2011,683,51,1211,1351.96109705692
"123",2011,685,51,1330,1484.81276555384
"124",2011,37,54,788,879.723653576261
"125",2012,1,11,1063,1162.63026613474
"126",2012,9,24,1204,1316.8455695449
"127",2012,17,24,1307,1429.49930182324
"128",2012,21,24,1133,1239.19105506177
"129",2012,31,24,1417,1549.80911299429
"130",2012,33,24,1140,1246.84713395448
"131",2012,13,51,1519,1661.36911971653
"132",2012,43,51,954,1043.4141805198
"133",2012,47,51,963,1053.2577105247
"134",2012,59,51,1492,1631.83852970182
"135",2012,61,51,1140,1246.84713395448
"136",2012,107,51,1531,1674.49382638974
"137",2012,153,51,1338,1463.40479406236
"138",2012,157,51,898,982.165549378174
"139",2012,177,51,1178,1288.40870508629
"140",2012,179,51,1280,1399.96871180853
"141",2012,187,51,849,928.572997129254
"142",2012,510,51,1330,1454.65498961355
"143",2012,600,51,1484,1623.08872525302
"144",2012,610,51,1453,1589.18323301391
"145",2012,630,51,1030,1126.53732278343
"146",2012,683,51,1232,1347.46988511571
"147",2012,685,51,1344,1469.96714739896
"148",2012,37,54,815,891.38632822184
"149",2013,1,11,1191,1283.8068934876
"150",2013,9,24,1403,1512.3266763754
"151",2013,17,24,1415,1525.26175842565
"152",2013,21,24,1209,1303.20951656298
"153",2013,31,24,1495,1611.49563876067
"154",2013,33,24,1199,1292.4302815211
"155",2013,13,51,1647,1775.34001139721
"156",2013,47,51,982,1058.52088111236
"157",2013,59,51,1593,1717.13214217107
"158",2013,61,51,1117,1204.04055417771
"159",2013,107,51,1587,1710.66460114595
"160",2013,153,51,1420,1530.65137594659
"161",2013,177,51,1247,1344.17060972211
"162",2013,179,51,1373,1479.98897124977
"163",2013,187,51,931,1003.54678239879
"164",2013,510,51,1424,1534.96306996334
"165",2013,600,51,1648,1776.4179349014
"166",2013,630,51,1020,1099.4819742715
