"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20007","Arlington","County",51,"013",329,11556,0.03,0.35,114,5465,25.974,9147943.9090405,2.21631234884262,2.42274370162277e-07,"642"
"20016","Arlington","County",51,"013",646,13111,0.05,0.33,213,6788,25.974,11927452.3369294,3.29461789131165,2.76221425853947e-07,"1942"
"20024","Arlington","County",51,"013",966,6343,0.15,0.17,167,1786,25.974,8788245.60274657,0.0120125599205494,1.36688941838347e-09,"1942"
"20037","Arlington","County",51,"013",1276,5077,0.25,0.01,14,348,25.974,2564839.71776638,1.40812462131566e-05,5.49010767246674e-12,"1942"
"22041","Arlington","County",51,"013",450,10205,0.04,0.78,350,2905,25.974,7576707.46040642,1123.7989944499,0.000148322869837925,"642"
"22043","Arlington","County",51,"013",660,8415,0.08,0.83,548,5635,25.974,12364798.5996916,0,0,"1942"
"22044","Arlington","County",51,"013",36,5389,0.01,1,36,1925,25.974,5860507.15184686,2504.06936645508,0.000427278612852807,"156"
"22046","Arlington","County",51,"013",1161,5459,0.21,0.42,491,4446,25.974,7318112.41257131,23.9330720901489,3.27038869326957e-06,"1942"
"22101","Arlington","County",51,"013",1537,8911,0.17,0.93,1432,9584,25.974,35439944.8821993,175282.406210959,0.00494589951518236,"1942"
"22201","Arlington","County",51,"013",5004,13599,0.37,0.14,678,4548,25.974,6052536.18618256,6052536.18618256,1,"12036"
"22202","Arlington","County",51,"013",3149,9777,0.32,0.04,133,2181,25.974,10176992.6196391,9985925.73322425,0.981225604306115,"12036"
"22203","Arlington","County",51,"013",3446,8282,0.42,0.06,198,2648,25.974,3979108.05517018,3978952.49592346,0.999960906000902,"12036"
"22204","Arlington","County",51,"013",2411,19375,0.12,0.18,442,8286,25.974,10679668.105732,10677722.1917861,0.999817792657351,"12036"
"22205","Arlington","County",51,"013",451,6239,0.07,0.96,433,5798,25.974,7032107.5675745,7015089.01793242,0.997579879221336,"642"
"22206","Arlington","County",51,"013",1835,8509,0.22,0.27,499,4255,25.974,5297746.31175709,5049018.71214306,0.95305030007533,"1942"
"22207","Arlington","County",51,"013",1245,10547,0.12,0.81,1012,10046,25.974,16571002.7153115,16450183.8930104,0.99270902163395,"1942"
"22209","Arlington","County",51,"013",1852,5331,0.35,0.02,36,745,25.974,1515055.63567436,1515047.90665364,0.999994898523505,"1942"
"22211","Arlington","County",51,"013",34,34,1,0,0,27,25.974,4537564.46916312,4537569.57760851,1.00000112581219,"156"
"22213","Arlington","County",51,"013",370,925,0.4,0.44,163,876,25.974,1507634.37275791,1485114.78473318,0.985062964581034,"642"
"22214","Arlington","County",51,"013",0,0,0,0,0,0,25.974,104034.585793912,104034.585793912,1,"156"
"22302","Arlington","County",51,"013",937,7258,0.13,0.05,44,3513,25.974,5839226.69333923,30771.6828035861,0.005269821573923,"1942"
"22305","Arlington","County",51,"013",854,5731,0.15,0.2,175,3001,25.974,3617283.37846518,6216.89935925975,0.00171866528242463,"1942"
"22314","Arlington","County",51,"013",4393,12699,0.35,0.19,830,7139,25.974,10647991.7229401,209.688625340583,1.96927862827718e-05,"12036"
