"STATE_FIPS","county_name","county_code","variable","value","value_prop"
11,"District of Columbia","001","$200,000 to $249,999",6999,6.21
11,"District of Columbia","001","$250,000 to $299,999",7681,6.82
11,"District of Columbia","001","$300,000 to $399,999",17280,15.34
11,"District of Columbia","001","$400,000 to $499,999",13830,12.27
11,"District of Columbia","001","$500,000 to $749,999",24866,22.07
11,"District of Columbia","001","$750,000 to $999,999",15867,14.08
11,"District of Columbia","001","$1,000,000 to $1,499,999",9717,8.62
11,"District of Columbia","001","$1,500,000 to $1,999,999",3492,3.1
11,"District of Columbia","001","$2,000,000 or more",2997,2.66
11,"District of Columbia","001","less than $100,000",3678,3.26
11,"District of Columbia","001","$100,000 to $199,999",6265,5.56
