"STATE","COUNTY","ZCTA5CE10"
"11","001","20204"
"11","001","20307"
"11","001","20240"
"11","001","20228"
"11","001","20551"
"11","001","20535"
"11","001","20045"
"11","001","20245"
"11","001","20520"
"11","001","20390"
"11","001","20540"
"11","001","20506"
"11","001","20230"
"11","001","20053"
"11","001","20317"
"11","001","20553"
"11","001","20005"
"11","001","20003"
"11","001","20202"
"11","001","20427"
"11","001","20006"
"11","001","20032"
"11","001","20020"
"11","001","20011"
"11","001","20019"
"11","001","20593"
"11","001","20052"
"11","001","20009"
"11","001","20405"
"11","001","20015"
"11","001","20036"
"11","001","20373"
"11","001","20016"
"11","001","20017"
"11","001","20004"
"11","001","20002"
"11","001","20007"
"11","001","20008"
"11","001","20565"
"11","001","20037"
"11","001","20260"
"11","001","20064"
"11","001","20418"
"11","001","20012"
"11","001","20024"
"11","001","20010"
"11","001","20001"
"11","001","20319"
"11","001","20018"
"11","001","20510"
"11","001","20057"
"11","001","20560"
"11","001","20566"
"24","009","20615"
"24","009","20639"
"24","009","20732"
"24","009","20689"
"24","009","20736"
"24","009","20629"
"24","009","20657"
"24","009","20754"
"24","009","20688"
"24","009","20685"
"24","009","20676"
"24","009","20678"
"24","017","20646"
"24","017","20625"
"24","017","20611"
"24","017","20616"
"24","017","20675"
"24","017","20640"
"24","017","20601"
"24","017","20637"
"24","017","20658"
"24","017","20662"
"24","017","20664"
"24","017","20677"
"24","017","20695"
"24","017","20602"
"24","017","20603"
"24","017","20612"
"24","017","20617"
"24","017","20622"
"24","017","20632"
"24","017","20693"
"24","017","20645"
"24","021","21705"
"24","021","21780"
"24","021","21718"
"24","021","21716"
"24","021","21714"
"24","021","21717"
"24","021","21727"
"24","021","21777"
"24","021","21762"
"24","021","21774"
"24","021","21710"
"24","021","21769"
"24","021","21770"
"24","021","21771"
"24","021","21773"
"24","021","21778"
"24","021","21791"
"24","021","21793"
"24","021","21701"
"24","021","21704"
"24","021","21790"
"24","021","21788"
"24","021","21755"
"24","021","21703"
"24","021","21798"
"24","021","21754"
"24","021","21702"
"24","031","20896"
"24","031","20812"
"24","031","20868"
"24","031","20860"
"24","031","20902"
"24","031","20839"
"24","031","20817"
"24","031","20876"
"24","031","20861"
"24","031","20814"
"24","031","20854"
"24","031","20882"
"24","031","20877"
"24","031","20850"
"24","031","20906"
"24","031","20910"
"24","031","20912"
"24","031","20874"
"24","031","20832"
"24","031","20833"
"24","031","20837"
"24","031","20841"
"24","031","20842"
"24","031","20851"
"24","031","20879"
"24","031","20901"
"24","031","20903"
"24","031","20853"
"24","031","20855"
"24","031","20866"
"24","031","20871"
"24","031","20872"
"24","031","20904"
"24","031","20905"
"24","031","20878"
"24","031","20815"
"24","031","20899"
"24","031","20816"
"24","031","20838"
"24","031","20852"
"24","031","20886"
"24","031","20895"
"24","031","20862"
"24","031","20880"
"24","031","20818"
"24","033","20712"
"24","033","20613"
"24","033","20623"
"24","033","20742"
"24","033","20737"
"24","033","20707"
"24","033","20710"
"24","033","20706"
"24","033","20747"
"24","033","20782"
"24","033","20762"
"24","033","20720"
"24","033","20608"
"24","033","20708"
"24","033","20715"
"24","033","20716"
"24","033","20721"
"24","033","20722"
"24","033","20735"
"24","033","20743"
"24","033","20745"
"24","033","20746"
"24","033","20748"
"24","033","20769"
"24","033","20770"
"24","033","20774"
"24","033","20784"
"24","033","20772"
"24","033","20744"
"24","033","20783"
"24","033","20705"
"24","033","20785"
"24","033","20781"
"24","033","20740"
"24","033","20607"
"51","013","22214"
"51","013","22209"
"51","013","22202"
"51","013","22204"
"51","013","22205"
"51","013","22207"
"51","013","22213"
"51","013","22201"
"51","013","22203"
"51","013","22206"
"51","013","22211"
"51","043","22646"
"51","043","20135"
"51","043","22663"
"51","043","22620"
"51","043","22611"
"51","043","20130"
"51","047","22701"
"51","047","22714"
"51","047","22713"
"51","047","22736"
"51","047","22741"
"51","047","22737"
"51","047","22724"
"51","047","22726"
"51","047","22718"
"51","047","22733"
"51","047","22729"
"51","059","22309"
"51","059","20170"
"51","059","22035"
"51","059","22151"
"51","059","22185"
"51","059","22312"
"51","059","22027"
"51","059","22039"
"51","059","22031"
"51","059","22124"
"51","059","20120"
"51","059","22310"
"51","059","22102"
"51","059","22182"
"51","059","22003"
"51","059","20171"
"51","059","20151"
"51","059","22303"
"51","059","20190"
"51","059","22041"
"51","059","22042"
"51","059","22044"
"51","059","22060"
"51","059","22030"
"51","059","22032"
"51","059","22153"
"51","059","22180"
"51","059","22079"
"51","059","22150"
"51","059","22306"
"51","059","22308"
"51","059","20121"
"51","059","22101"
"51","059","22043"
"51","059","22181"
"51","059","20191"
"51","059","22315"
"51","059","22152"
"51","059","22066"
"51","059","20124"
"51","059","20194"
"51","059","22015"
"51","059","22307"
"51","059","22033"
"51","061","20115"
"51","061","20139"
"51","061","20198"
"51","061","22742"
"51","061","20137"
"51","061","20187"
"51","061","22643"
"51","061","22639"
"51","061","22712"
"51","061","22734"
"51","061","22720"
"51","061","20144"
"51","061","20186"
"51","061","20119"
"51","061","22642"
"51","061","22728"
"51","107","20175"
"51","107","20118"
"51","107","20148"
"51","107","20132"
"51","107","20129"
"51","107","20105"
"51","107","20141"
"51","107","20158"
"51","107","20152"
"51","107","20147"
"51","107","20176"
"51","107","20165"
"51","107","20166"
