"STATE","COUNTY","ZCTA","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","NAME","LSAD"
"11","001","20204",61.048,14607.1875597693,14607.1875597693,1,"District of Columbia",NA
"11","001","20307",61.048,338268.771059513,338268.771059513,1,"District of Columbia",NA
"11","001","20240",61.048,30669.7362024955,30669.7362024955,1,"District of Columbia",NA
"11","001","20228",61.048,87302.321443826,87302.321443826,1,"District of Columbia",NA
"11","001","20551",61.048,23602.5713121336,23602.5713121336,1,"District of Columbia",NA
"11","001","20712",61.048,1912759.04030633,113.459588913932,5.93172409713254e-05,"District of Columbia",NA
"11","001","22209",61.048,1515055.63567436,0,0,"District of Columbia",NA
"11","001","20535",61.048,12813.4853732369,12813.4853732369,1,"District of Columbia",NA
"11","001","22202",61.048,10176992.6196391,160095.869903402,0.015731157119487,"District of Columbia",NA
"11","001","20045",61.048,27708.9541533281,27708.9541533281,1,"District of Columbia",NA
"11","001","20245",61.048,59610.97548872,59610.97548872,1,"District of Columbia",NA
"11","001","20520",61.048,63582.8373936415,63582.8373936415,1,"District of Columbia",NA
"11","001","20390",61.048,11324.4290093184,11324.4290093184,1,"District of Columbia",NA
"11","001","20540",61.048,86576.0746538416,86576.0746538416,1,"District of Columbia",NA
"11","001","20506",61.048,43955.8428889662,43955.8428889662,1,"District of Columbia",NA
"11","001","20230",61.048,55282.0595757202,55282.0595757202,1,"District of Columbia",NA
"11","001","20053",61.048,101139.7661466,101139.7661466,1,"District of Columbia",NA
"11","001","20317",61.048,1188913.7411816,1188913.7411816,1,"District of Columbia",NA
"11","001","20553",61.048,25061.2149235029,25061.2149235029,1,"District of Columbia",NA
"11","001","22207",61.048,16571002.7153115,0,0,"District of Columbia",NA
"11","001","20005",61.048,1132684.48341241,1132684.48341241,1,"District of Columbia",NA
"11","001","20003",61.048,6467487.2306837,6467487.2306837,1,"District of Columbia",NA
"11","001","20202",61.048,18598.0933334832,18598.0933334832,1,"District of Columbia",NA
"11","001","20427",61.048,16250.5427719788,16250.5427719788,1,"District of Columbia",NA
"11","001","20006",61.048,918103.727879524,918103.727879524,1,"District of Columbia",NA
"11","001","20032",61.048,13737595.2373034,13737612.5314884,1.00000125889464,"District of Columbia",NA
"11","001","20782",61.048,11157365.1533222,2.47332215309143,2.21676186008394e-07,"District of Columbia",NA
"11","001","20020",61.048,12317651.7462729,12317671.4594769,1.00000160040277,"District of Columbia",NA
"11","001","20011",61.048,12660480.7999454,12660466.3018587,0.999998854854972,"District of Columbia",NA
"11","001","20019",61.048,16827648.5829098,16827435.0886675,0.999987312889187,"District of Columbia",NA
"11","001","20593",61.048,73438.7771688933,73438.7771688933,1,"District of Columbia",NA
"11","001","20052",61.048,7060.79088071734,7060.79088071734,1,"District of Columbia",NA
"11","001","20009",61.048,3440816.01026237,3440816.01026237,1,"District of Columbia",NA
"11","001","20405",61.048,32990.2234453987,32990.2234453987,1,"District of Columbia",NA
"11","001","20015",61.048,8925388.95455337,8924431.45925066,0.999892722288341,"District of Columbia",NA
"11","001","20036",61.048,832414.929835184,832414.929835184,1,"District of Columbia",NA
"11","001","20373",61.048,929410.079739928,929410.079739928,1,"District of Columbia",NA
"11","001","20722",61.048,3902682.20794247,16.7679476737976,4.29651885046459e-06,"District of Columbia",NA
"11","001","20743",61.048,25125227.7243896,151.030828237534,6.01112276052825e-06,"District of Columbia",NA
"11","001","20745",61.048,17026104.0343928,26235.0979237556,0.00154087499235061,"District of Columbia",NA
"11","001","20746",61.048,20426906.8270561,1.61317392390857e-05,7.89729907502135e-13,"District of Columbia",NA
"11","001","20748",61.048,23563930.1042737,46.8787900209427,1.98943002349343e-06,"District of Columbia",NA
"11","001","20910",61.048,11894977.8716655,0.0225543975830078,1.89612774620906e-09,"District of Columbia",NA
"11","001","20912",61.048,7053714.0166749,17.1653206348419,2.43351525086831e-06,"District of Columbia",NA
"11","001","22211",61.048,4537564.46916312,0.213360905647278,4.70210191165898e-08,"District of Columbia",NA
"11","001","22314",61.048,10647991.7229401,0.492189675569534,4.62237094445855e-08,"District of Columbia",NA
"11","001","22101",61.048,35439944.8821993,1631.0295907259,4.6022351223947e-05,"District of Columbia",NA
"11","001","20016",61.048,11927452.3369294,11927441.3502834,0.999999078877388,"District of Columbia",NA
"11","001","20017",61.048,5705564.79410224,5705551.60867786,0.999997689023813,"District of Columbia",NA
"11","001","20004",61.048,894694.938347777,894694.938347777,1,"District of Columbia",NA
"11","001","20002",61.048,14223802.9300222,14223802.9300222,1,"District of Columbia",NA
"11","001","20007",61.048,9147943.9090405,9147950.30093496,1.00000069872471,"District of Columbia",NA
"11","001","20008",61.048,7934014.35088521,7934014.35088521,1,"District of Columbia",NA
"11","001","20815",61.048,14101992.6560829,0.10390317440033,7.36797819530215e-09,"District of Columbia",NA
"11","001","20565",61.048,163761.117334132,163761.117334132,1,"District of Columbia",NA
"11","001","20783",61.048,14547634.7671438,0.180481672286987,1.24062553931179e-08,"District of Columbia",NA
"11","001","20037",61.048,2564839.71776638,2564839.71776641,1.00000000000001,"District of Columbia",NA
"11","001","20260",61.048,46319.3049782668,46319.3049782668,1,"District of Columbia",NA
"11","001","20064",61.048,503538.589174271,503538.589174271,1,"District of Columbia",NA
"11","001","20418",61.048,29342.6695806608,29342.6695806608,1,"District of Columbia",NA
"11","001","20012",61.048,5803079.64819336,5803097.15997553,1.00000301767048,"District of Columbia",NA
"11","001","20024",61.048,8788245.60274657,8788252.55867532,1.00000079150368,"District of Columbia",NA
"11","001","20781",61.048,6499646.20647645,0,0,"District of Columbia",NA
"11","001","20010",61.048,2810689.6595735,2810689.6595735,1,"District of Columbia",NA
"11","001","20816",61.048,10625517.4215522,5748.70338297635,0.000541028088788977,"District of Columbia",NA
"11","001","20001",61.048,5795010.17681645,5795010.17681645,1,"District of Columbia",NA
"11","001","20319",61.048,637665.110141158,637665.110141158,1,"District of Columbia",NA
"11","001","20018",61.048,7834941.73360515,7834941.73360515,1,"District of Columbia",NA
"11","001","20510",61.048,30596.5678117871,30596.5678117871,1,"District of Columbia",NA
"11","001","20057",61.048,447112.521534041,447112.521534041,1,"District of Columbia",NA
"11","001","20560",61.048,53771.6301282649,53771.6301282649,1,"District of Columbia",NA
"11","001","20566",61.048,97943.9833134077,97943.9833134077,1,"District of Columbia",NA
"24","009","20615",213.152,2143286.18298912,2143286.18298912,1,"Calvert","County"
"24","009","20613",213.152,199585354.825032,14731.5612844825,7.38108329511302e-05,"Calvert","County"
"24","009","20659",213.152,264986377.565095,15096.0960874092,5.69693288618232e-05,"Calvert","County"
"24","009","20714",213.152,6120189.88067085,1550609.97081041,0.2533597814845,"Calvert","County"
"24","009","20639",213.152,113424461.25664,113378885.897052,0.999598187559522,"Calvert","County"
"24","009","20732",213.152,27062576.0986106,27062557.3363552,0.999999306708447,"Calvert","County"
"24","009","20637",213.152,83539558.9947183,23820.2614637315,0.000285137505516848,"Calvert","County"
"24","009","20608",213.152,50903057.1472981,19855.5998476222,0.000390066942151747,"Calvert","County"
"24","009","20689",213.152,20260282.8685574,20260282.8685574,1,"Calvert","County"
"24","009","20711",213.152,89466414.7564436,11757.0662227534,0.000131413181748256,"Calvert","County"
"24","009","20736",213.152,67797705.7077903,66807898.8361734,0.985400584558378,"Calvert","County"
"24","009","20612",213.152,1955041.30456537,24115.0488567352,0.0123348027483728,"Calvert","County"
"24","009","20619",213.152,43792138.1075767,349.935843586922,7.99083713901554e-06,"Calvert","County"
"24","009","20629",213.152,1534518.79738092,1534518.79738092,1,"Calvert","County"
"24","009","20636",213.152,116598488.955488,49813.5047372282,0.000427222558229247,"Calvert","County"
"24","009","20657",213.152,88509899.2170671,88248614.9379716,0.997047965465933,"Calvert","County"
"24","009","20758",213.152,10462641.2808367,23523.8514356874,0.00224836643102478,"Calvert","County"
"24","009","20754",213.152,45775021.8882263,36502647.7664701,0.797435943462845,"Calvert","County"
"24","009","20688",213.152,6535441.16286209,6530869.07143283,0.99930041579209,"Calvert","County"
"24","009","20772",213.152,188817915.9938,3400.30397248268,1.80083757125798e-05,"Calvert","County"
"24","009","20685",213.152,78460595.061444,78440042.3400044,0.999738050400669,"Calvert","County"
"24","009","20676",213.152,43580569.192838,43580569.192838,1,"Calvert","County"
"24","009","20678",213.152,129035832.94957,128979835.95714,0.999566035331813,"Calvert","County"
"24","017","22309",457.749,21639107.815757,3483.45032960176,0.000160979387840806,"Charles","County"
"24","017","20646",457.749,215582725.379325,215582725.379325,1,"Charles","County"
"24","017","20613",457.749,199585354.825032,15431766.1316346,0.0773191306805202,"Charles","County"
"24","017","20625",457.749,1542025.13611295,1512576.01621056,0.980902308780369,"Charles","County"
"24","017","20611",457.749,18277349.6275117,18277349.6275117,1,"Charles","County"
"24","017","20616",457.749,29082435.0115622,29082381.3882902,0.99999815616292,"Charles","County"
"24","017","20659",457.749,264986377.565095,10802180.9409336,0.040765042490835,"Charles","County"
"24","017","20675",457.749,15660367.4530485,15660367.4530485,1,"Charles","County"
"24","017","20640",457.749,118423934.563102,118165369.568468,0.997816615403067,"Charles","County"
"24","017","20601",457.749,116051534.846758,105145998.512404,0.906028504071447,"Charles","County"
"24","017","20637",457.749,83539558.9947183,83451807.9227146,0.998949586602327,"Charles","County"
"24","017","20608",457.749,50903057.1472981,36535.5037758322,0.000717746748886015,"Charles","County"
"24","017","20658",457.749,7780603.00986481,7780603.00986481,1,"Charles","County"
"24","017","20662",457.749,154331075.977407,153680682.153536,0.995785723518399,"Charles","County"
"24","017","20664",457.749,111086049.810629,110654267.142273,0.996113079283206,"Charles","County"
"24","017","20677",457.749,44780216.9608692,44780216.9608817,1.00000000000028,"Charles","County"
