"","SSCCC","unique_block","NAME","unique_tract"
"1","11001",450,"District of Columbia, DC",179
"2","24003",311,"Anne Arundel County, MD",104
"3","24005",529,"Baltimore County, MD",214
"4","24009",44,"Calvert County, MD",18
"5","24013",106,"Carroll County, MD",38
"6","24017",81,"Charles County, MD",31
"7","24019",29,"Dorchester County, MD",9
"8","24021",190,"Frederick County, MD",61
"9","24025",167,"Harford County, MD",57
"10","24027",154,"Howard County, MD",55
"11","24031",614,"Montgomery County, MD",215
"12","24033",523,"Prince George's County, MD",218
"13","24035",25,"Queen Anne's County, MD",11
"14","24037",55,"St. Mary's County, MD",17
"15","24041",27,"Talbot County, MD",10
"16","24043",95,"Washington County, MD",32
"17","24510",653,"Baltimore city, MD",200
"18","42055",89,"Franklin County, PA",27
"19","51013",181,"Arlington County, VA",59
"20","51043",11,"Clarke County, VA",3
"21","51047",20,"Culpeper County, VA",8
"22","51059",649,"Fairfax County, VA",258
"23","51061",36,"Fauquier County, VA",17
"24","51069",46,"Frederick County, VA",14
"25","51107",163,"Loudoun County, VA",65
"26","51153",230,"Prince William County, VA",83
"27","51157",5,"Rappahannock County, VA",2
"28","51177",71,"Spotsylvania County, VA",30
"29","51179",62,"Stafford County, VA",27
"30","51187",27,"Warren County, VA",8
"31","51510",106,"Alexandria city, VA",38
"32","51600",17,"Fairfax city, VA",5
"33","51610",8,"Falls Church city, VA",3
"34","51630",16,"Fredericksburg city, VA",6
"35","51683",25,"Manassas city, VA",7
"36","51685",8,"Manassas Park city, VA",2
"37","51840",24,"Winchester city, VA",5
"38","54003",65,"Berkeley County, WV",14
"39","54027",16,"Hampshire County, WV",5
"40","54037",32,"Jefferson County, WV",15
