"","SSCCC","unique_block","NAME","unique_tract"
"1","11001",450,"District of Columbia, DC",179
"2","24009",44,"Calvert County, MD",18
"3","24017",81,"Charles County, MD",31
"4","24021",190,"Frederick County, MD",61
"5","24031",614,"Montgomery County, MD",215
"6","24033",523,"Prince George's County, MD",218
"7","51013",181,"Arlington County, VA",59
"8","51043",11,"Clarke County, VA",3
"9","51047",20,"Culpeper County, VA",8
"10","51059",649,"Fairfax County, VA",258
"11","51061",36,"Fauquier County, VA",17
"12","51107",163,"Loudoun County, VA",65
"13","51153",230,"Prince William County, VA",83
"14","51157",5,"Rappahannock County, VA",2
"15","51177",71,"Spotsylvania County, VA",30
"16","51179",62,"Stafford County, VA",27
"17","51187",27,"Warren County, VA",8
"18","51510",106,"Alexandria city, VA",38
"19","51600",17,"Fairfax city, VA",5
"20","51610",8,"Falls Church city, VA",3
"21","51630",16,"Fredericksburg city, VA",6
"22","51683",25,"Manassas city, VA",7
"23","51685",8,"Manassas Park city, VA",2
"24","54037",32,"Jefferson County, WV",15
