"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","NAME","level","FIPS","county_name","LSAD","msa_name"
"1",12060,"1970",3045686,1852235,376954,344529,274441,197527,NA,NA,NA,NA,NA,NA,NA,"Atlanta-Sandy Springs-Roswell, GA","msa",NA,NA,NA,NA
"2",12060,"1980",2338211,3548924,388728,671730,806121,590267,1776285,571705,25493,173129,246715,297589,106973,"Atlanta-Sandy Springs-Roswell, GA","msa",NA,NA,NA,NA
"3",12060,"1990",3082308,3082308,638579,840616,447623,352383,2225976,778381,56896,258633,362251,409695,115182,"Atlanta-Sandy Springs-Roswell, GA","msa",NA,NA,NA,NA
"4",12060,"2000",4798032,5461915,762825,1151592,755943,424645,2706365,1216222,267297,362728,488486,367951,178632,"Atlanta-Sandy Springs-Roswell, GA","msa",NA,NA,NA,NA
"5",12060,"2009",10514228,2854742,1728444,2559466,2077458,1294118,6142884,3261192,978554,980806,1163500,1189346,374938,"Atlanta-Sandy Springs-Roswell, GA","msa",NA,NA,NA,NA
"6",12060,"2013",10758352,2811574,1754922,2441568,2202158,1548130,6055510,3507554,1115970,1013656,1196268,1221334,403904,"Atlanta-Sandy Springs-Roswell, GA","msa",NA,NA,NA,NA
"7",12060,"2017",11401980,2873010,1851418,2444330,2366104,1867118,6225660,3841564,1200066,1078526,1272210,1281010,426344,"Atlanta-Sandy Springs-Roswell, GA","msa",NA,NA,NA,NA
"8",14460,"1970",6527043,3918092,723764,650967,639755,594465,NA,NA,NA,NA,NA,NA,NA,"Boston-Cambridge-Newton, MA-NH","msa",NA,NA,NA,NA
"9",14460,"1980",3938585,5999348,709296,1010986,1275742,1370897,3772168,182173,91528,344407,412777,436706,198425,"Boston-Cambridge-Newton, MA-NH","msa",NA,NA,NA,NA
"10",14460,"1990",4133895,4133895,895509,1034270,601537,693561,3678592,233937,196803,394805,472251,505616,164513,"Boston-Cambridge-Newton, MA-NH","msa",NA,NA,NA,NA
"11",14460,"2000",4953776,5760593,718580,1116385,814627,641804,3655535,260695,281216,465343,523602,376982,168788,"Boston-Cambridge-Newton, MA-NH","msa",NA,NA,NA,NA
"12",14460,"2009",9027868,2002860,1519954,1986302,1935924,1582828,7317240,612396,711926,982934,1072774,1046124,294020,"Boston-Cambridge-Newton, MA-NH","msa",NA,NA,NA,NA
"13",14460,"2013",9208556,1959170,1628420,1846524,2020204,1754238,7242870,698694,863266,1003802,1128508,1080466,298556,"Boston-Cambridge-Newton, MA-NH","msa",NA,NA,NA,NA
"14",14460,"2017",9543872,1943192,1705856,1877394,2039688,1977742,7348826,769054,1010954,1001514,1180126,1128854,297778,"Boston-Cambridge-Newton, MA-NH","msa",NA,NA,NA,NA
"15",16980,"1970",13013649,7882788,1395514,1394235,1331834,1009278,NA,NA,NA,NA,NA,NA,NA,"Chicago-Naperville-Elgin, IL-IN-WI","msa",NA,NA,NA,NA
"16",16980,"1980",8052932,12201218,1349365,2039543,2673287,2459553,6700719,1572447,633549,669752,798779,903276,434935,"Chicago-Naperville-Elgin, IL-IN-WI","msa",NA,NA,NA,NA
"17",16980,"1990",8182076,8182076,1580513,2004685,1193981,1267350,5888345,1546880,878734,737740,850720,956214,398432,"Chicago-Naperville-Elgin, IL-IN-WI","msa",NA,NA,NA,NA
"18",16980,"2000",12086594,11877778,1540899,2210893,1595140,1194811,6079835,1682324,1494139,859316,946310,769885,458418,"Chicago-Naperville-Elgin, IL-IN-WI","msa",NA,NA,NA,NA
"19",16980,"2009",18923632,4892490,3184774,4128110,3821610,2896648,12343924,3357796,3626100,1903242,2006408,2073384,819054,"Chicago-Naperville-Elgin, IL-IN-WI","msa",NA,NA,NA,NA
"20",16980,"2013",18976986,4687662,3172084,3974676,3918024,3224540,12628766,3250912,3973570,1933340,2038178,2077018,810940,"Chicago-Naperville-Elgin, IL-IN-WI","msa",NA,NA,NA,NA
"21",16980,"2017",19098458,4486848,3158076,3922352,3889102,3642080,12606144,3198830,4163048,1989468,2137522,2066572,769098,"Chicago-Naperville-Elgin, IL-IN-WI","msa",NA,NA,NA,NA
"22",19100,"1970",3998388,2428838,489194,448454,360294,271608,NA,NA,NA,NA,NA,NA,NA,"Dallas-Fort Worth-Arlington, TX","msa",NA,NA,NA,NA
"23",19100,"1980",3034207,4588599,538603,846631,1018638,781949,2696409,426171,250448,248644,343160,372457,134081,"Dallas-Fort Worth-Arlington, TX","msa",NA,NA,NA,NA
"24",19100,"1990",4018778,4018778,851902,1063235,551594,458422,3048680,561521,516273,374816,457357,501962,167348,"Dallas-Fort Worth-Arlington, TX","msa",NA,NA,NA,NA
"25",19100,"2000",7445800,6648873,948729,1356364,875157,522204,3615423,708201,1120837,468197,574255,444256,241629,"Dallas-Fort Worth-Arlington, TX","msa",NA,NA,NA,NA
"26",19100,"2009",12391780,3472070,2172618,2909312,2320420,1517360,8575138,1719384,3300706,1098826,1301862,1375538,514752,"Dallas-Fort Worth-Arlington, TX","msa",NA,NA,NA,NA
"27",19100,"2013",13151666,3610252,2205390,2921906,2587666,1826452,9076496,1961308,3627018,1174950,1431746,1490756,569612,"Dallas-Fort Worth-Arlington, TX","msa",NA,NA,NA,NA
"28",19100,"2017",14208830,3779736,2350136,3078606,2803174,2197178,9861126,2186424,4037008,1238318,1539972,1598224,612338,"Dallas-Fort Worth-Arlington, TX","msa",NA,NA,NA,NA
"29",26420,"1970",3576789,2195100,423335,417632,328189,212533,NA,NA,NA,NA,NA,NA,NA,"Houston-The Woodlands-Sugar Land, TX","msa",NA,NA,NA,NA
"30",26420,"1980",3137557,4704917,565551,943701,1031933,660394,2771328,573243,448708,250820,323653,380305,156661,"Houston-The Woodlands-Sugar Land, TX","msa",NA,NA,NA,NA
"31",26420,"1990",3750963,3750963,739942,1016723,514012,398132,2543439,669295,767776,328056,380461,457759,181750,"Houston-The Woodlands-Sugar Land, TX","msa",NA,NA,NA,NA
"32",26420,"2000",7399749,6037698,827867,1185190,818139,467483,2936566,789731,1353294,385628,471580,409643,242260,"Houston-The Woodlands-Sugar Land, TX","msa",NA,NA,NA,NA
"33",26420,"2009",11141234,3191316,1914262,2504816,2175538,1355302,7209086,1876194,3714232,922848,1128556,1255324,499816,"Houston-The Woodlands-Sugar Land, TX","msa",NA,NA,NA,NA
