"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","household_with_kids","family_household_without_kids","non_family_household_without_kids","level","NAME","FIPS","county_name","LSAD"
"1",12060,"1970",1852235,658784,376954,344529,274441,197527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"2",12060,"1980",2338211,692403,520922,523807,329269,271810,1766429,571705,25493,173129,246715,297589,106973,338930,276867,208609,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"3",12060,"1990",3082308,803107,638579,840616,447623,352383,2225976,778381,56896,258633,362251,409695,115182,415234,402359,328168,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"4",12060,"2000",4263438,1132600,762825,1151592,755943,460478,2706365,1216222,267297,362728,488486,530592,178632,567614,523604,469220,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"5",12060,"2009",5257114,1427371,864222,1279733,1038729,647059,3071442,1630596,489277,490403,581750,594673,187469,704537,557029,592729,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"6",12060,"2013",5379176,1405787,877461,1220784,1101079,774065,3027755,1753777,557985,506828,598134,610667,201952,714733,595909,606939,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"7",12060,"2017",5700990,1436505,925709,1222165,1183052,933559,3112830,1920782,600033,539263,636105,640505,213172,727536,649112,652397,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"8",12060,"2018",5779463,1442479,942124,1223206,1197603,974051,3122337,1961791,611688,546528,653535,651128,214048,734130,666359,664750,"msa_level","Atlanta-Sandy Springs-Roswell, GA",NA,NA,NA
"9",14460,"1970",3918092,1309141,723764,650967,639755,594465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"10",14460,"1980",3938585,1019541,895795,761221,607529,654499,3716034,182173,91528,344407,412777,436706,198425,490628,484823,416864,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"11",14460,"1990",4133895,909018,895509,1034270,601537,693561,3678592,233937,196803,394805,472251,505616,164513,470588,560908,505689,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"12",14460,"2000",4391344,1026506,718580,1116385,814627,715246,3655535,260695,281216,465343,523602,522425,168788,524971,558429,596758,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"13",14460,"2009",4513934,1001430,759977,993151,967962,791414,3658620,306198,355963,491467,536387,523062,147010,547928,532018,617980,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"14",14460,"2013",4604278,979585,814210,923262,1010102,877119,3621435,349347,431633,501901,564254,540233,149278,546004,568651,641011,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"15",14460,"2017",4771936,971596,852928,938697,1019844,988871,3674413,384527,505477,500757,590063,564427,148889,545000,611031,648105,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"16",14460,"2018",4811732,971181,862654,947602,1012944,1017351,3679379,392241,525764,505758,597390,566875,149090,541262,619817,658034,"msa_level","Boston-Cambridge-Newton, MA-NH",NA,NA,NA
"17",16980,"1970",7882788,2751927,1395514,1394235,1331834,1009278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"18",16980,"1980",8052932,2326002,1752697,1577553,1247179,1149501,6356718,1572447,633549,669752,798779,903276,434935,1074394,964731,767617,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"19",16980,"1990",8182076,2135547,1580513,2004685,1193981,1267350,5888345,1546880,878734,737740,850720,956214,398432,1010310,1059907,872889,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"20",16980,"2000",9098316,2441136,1540899,2210893,1595140,1310248,6079835,1682324,1494139,859316,946310,1016777,458418,1136916,1110724,1033181,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"21",16980,"2009",9461816,2446245,1592387,2064055,1910805,1448324,6171962,1678898,1813050,951621,1003204,1036692,409527,1223915,1050694,1126435,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"22",16980,"2013",9488493,2343831,1586042,1987338,1959012,1612270,6314383,1625456,1986785,966670,1019089,1038509,405470,1182545,1096603,1150590,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"23",16980,"2017",9549229,2243424,1579038,1961176,1944551,1821040,6303072,1599415,2081524,994734,1068761,1033286,384549,1133468,1151513,1196349,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"24",16980,"2018",9536428,2217561,1571911,1951896,1925754,1869306,6278469,1586538,2092989,1000692,1082162,1035170,377689,1123698,1164114,1207901,"msa_level","Chicago-Naperville-Elgin, IL-IN-WI",NA,NA,NA
"25",19100,"1970",2428838,859288,489194,448454,360294,271608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"26",19100,"1980",3034207,887181,707074,646520,431304,362128,2547674,426171,250448,248644,343160,372457,134081,430981,371474,295887,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"27",19100,"1990",4018778,1093625,851902,1063235,551594,458422,3048680,561521,516273,374816,457357,501962,167348,550064,498131,453288,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"28",19100,"2000",5204126,1456926,948729,1356364,875157,566950,3615423,708201,1120837,468197,574255,614793,241629,713519,609992,575363,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"29",19100,"2009",6195890,1736035,1086309,1454656,1160210,758680,4287569,859692,1650353,549413,650931,687769,257376,861739,627780,655970,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"30",19100,"2013",6575833,1805126,1102695,1460953,1293833,913226,4538248,980654,1813509,587475,715873,745378,284806,918301,707296,707935,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"31",19100,"2017",7104415,1889868,1175068,1539303,1401587,1098589,4930563,1093212,2018504,619159,769986,799112,306169,958157,782685,753584,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"32",19100,"2018",7255028,1915498,1204903,1565659,1422248,1146720,5012939,1126696,2077311,631196,779651,813678,311530,966766,801357,767932,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"33",26420,"1970",2195100,813411,423335,417632,328189,212533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"34",26420,"1980",3137557,955042,773722,684136,429353,295304,2535300,573243,448708,250820,323653,380305,156661,459215,351542,300682,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"35",26420,"1990",3750963,1082154,739942,1016723,514012,398132,2543439,669295,767776,328056,380461,457759,181750,526383,432137,389506,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"36",26420,"2000",4693161,1359021,827867,1185190,818139,502944,2936566,789731,1353294,385628,471580,550111,242260,649759,534897,464923,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"37",26420,"2009",5570617,1595658,957131,1252408,1087769,677651,3604543,938097,1857116,461424,564278,627662,249908,785496,567426,550350,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"38",26420,"2013",6063540,1676799,1041032,1330339,1189512,825858,3986513,1045873,2161755,497802,615404,675563,279749,830174,641598,596746,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"39",26420,"2017",6636208,1788611,1116321,1453313,1266256,1011707,4359111,1141697,2432651,550280,674418,740994,305869,892107,720305,659149,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"40",26420,"2018",6779104,1819907,1138074,1483376,1280782,1056965,4426906,1169670,2506513,558256,685624,756125,310208,901943,738686,669584,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"41",31080,"1970",8456849,2793766,1595905,1568396,1422265,1076517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"42",31080,"1980",9410212,2552807,2188668,1939791,1447474,1281472,8139983,985865,2351225,890554,1031994,1029452,470150,1204328,1115816,1102006,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"43",31080,"1990",11273720,2911209,2507703,2825797,1553350,1475661,6941442,1032038,3886958,912399,1097699,1167879,645215,1318546,1308048,1196598,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"44",31080,"2000",12365627,3426931,2228991,3089710,2014952,1605043,6465654,961163,5119938,967749,1091867,1256580,756237,1531788,1296435,1244210,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"45",31080,"2009",12762126,3308331,2272502,2908891,2420118,1852284,6840293,913537,5614718,1037778,1144945,1330284,639260,1604404,1236786,1311077,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"46",31080,"2013",12945252,3104313,2366957,2790183,2579982,2103817,7190204,883313,5774371,1042663,1181998,1347059,654175,1550246,1342973,1332676,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"47",31080,"2017",13261538,2990347,2401271,2796936,2674613,2398371,7193319,882243,5972751,1058817,1229499,1399239,632619,1487560,1464137,1368477,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"48",31080,"2018",13262234,2957709,2386340,2787613,2666389,2464183,7137761,878719,5973798,1064363,1239316,1410438,624365,1472067,1485351,1381064,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"49",33100,"1970",968822,279343,136817,152133,165395,235134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"50",33100,"1980",1595063,338686,272415,276508,243992,463462,1437854,195784,68400,161351,274038,161459,55946,167348,293032,192414,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"51",33100,"1990",2119006,425312,334187,486346,294360,578801,1760554,300273,172269,254091,348304,225292,66304,219431,362486,312074,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"52",33100,"2000",5007564,1178167,720105,1199427,877684,1032181,3609888,938578,1703772,512995,613359,558881,221225,585508,686936,634016,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"53",33100,"2009",5484777,1260576,823387,1177056,1092721,1131037,3893050,1112763,2133615,577085,652459,597683,179696,647636,661471,697816,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"54",33100,"2013",5673185,1211674,884044,1149061,1201072,1227334,4061742,1199613,2376061,580566,643413,605862,187655,638429,677739,701328,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"55",33100,"2017",6019790,1238058,920635,1200308,1275381,1385408,4266292,1286415,2663235,589960,667568,630416,189764,638271,724592,714845,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"56",33100,"2018",6070944,1243333,919734,1206515,1278679,1422683,4279818,1293936,2716271,594705,680702,633620,191328,633453,743844,723058,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"57",35620,"1970",17506245,5535742,2967628,3180701,3137259,2684915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"58",35620,"1980",16868198,4437522,3299362,3381951,2872247,2877116,13898487,2893127,2013156,1543884,1754761,1937902,848508,2159913,2182850,1742292,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"59",35620,"1990",17413155,4009794,3293981,4257748,2763610,3088022,12141663,3228944,2677355,1670552,1821418,2060237,809423,1994958,2418659,1948013,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
