"NAME","county_name","CBSA","statefips","countyfips","year","s_white","s_aa","s_hisp"
"Atlanta-Sandy Springs-Roswell, GA",NA,12060,NA,NA,1970,NA,NA,NA
"Atlanta-Sandy Springs-Roswell, GA",NA,12060,NA,NA,1980,0.755461761149871,0.244505307690367,0.0109027799458646
"Atlanta-Sandy Springs-Roswell, GA",NA,12060,NA,NA,1990,0.722178315729642,0.252531868976105,0.018458895087707
"Atlanta-Sandy Springs-Roswell, GA",NA,12060,NA,NA,2000,0.634784650322111,0.285267898817809,0.0626951769909636
"Atlanta-Sandy Springs-Roswell, GA",NA,12060,NA,NA,2009,0.584244891779025,0.310169419951707,0.0930695054358722
"Atlanta-Sandy Springs-Roswell, GA",NA,12060,NA,NA,2013,0.562865948241887,0.32603078984588,0.103730571373757
"Atlanta-Sandy Springs-Roswell, GA",NA,12060,NA,NA,2017,0.546015692011387,0.336920780425856,0.105250666989418
"Boston-Cambridge-Newton, MA-NH",NA,14460,NA,NA,1970,NA,NA,NA
"Boston-Cambridge-Newton, MA-NH",NA,14460,NA,NA,1980,0.943494681465552,0.0462534133451481,0.0232388027679992
"Boston-Cambridge-Newton, MA-NH",NA,14460,NA,NA,1990,0.88986101485403,0.0565899714433966,0.0476071598335226
"Boston-Cambridge-Newton, MA-NH",NA,14460,NA,NA,2000,0.832441047661035,0.0593656520646071,0.0640387088781931
"Boston-Cambridge-Newton, MA-NH",NA,14460,NA,NA,2009,0.810516945972183,0.0678339559240343,0.0788587072828269
"Boston-Cambridge-Newton, MA-NH",NA,14460,NA,NA,2013,0.786536998851937,0.0758744367738004,0.0937460770179385
"Boston-Cambridge-Newton, MA-NH",NA,14460,NA,NA,2017,0.770004668964546,0.0805809214541016,0.10592702835914
"Chicago-Naperville-Elgin, IL-IN-WI",NA,16980,NA,NA,1970,NA,NA,NA
"Chicago-Naperville-Elgin, IL-IN-WI",NA,16980,NA,NA,1980,0.789366903880475,0.195263911330681,0.0786730845361664
"Chicago-Naperville-Elgin, IL-IN-WI",NA,16980,NA,NA,1990,0.719663933700934,0.189057153710134,0.10739743800962
"Chicago-Naperville-Elgin, IL-IN-WI",NA,16980,NA,NA,2000,0.668237396898503,0.184904986812944,0.164221488899704
"Chicago-Naperville-Elgin, IL-IN-WI",NA,16980,NA,NA,2009,0.652302052798321,0.177439299178931,0.191617549950242
"Chicago-Naperville-Elgin, IL-IN-WI",NA,16980,NA,NA,2013,0.665477963676634,0.171308130806441,0.209388888203849
"Chicago-Naperville-Elgin, IL-IN-WI",NA,16980,NA,NA,2017,0.660060827947471,0.167491532562472,0.217978226304972
"Dallas-Fort Worth-Arlington, TX",NA,19100,NA,NA,1970,NA,NA,NA
"Dallas-Fort Worth-Arlington, TX",NA,19100,NA,NA,1980,0.839650689620056,0.140455479800818,0.0825415009588996
"Dallas-Fort Worth-Arlington, TX",NA,19100,NA,NA,1990,0.758608711404312,0.139724314206955,0.128465170258223
"Dallas-Fort Worth-Arlington, TX",NA,19100,NA,NA,2000,0.694722418327304,0.136084522165682,0.215374685393859
"Dallas-Fort Worth-Arlington, TX",NA,19100,NA,NA,2009,0.692002117532752,0.138751979134555,0.266362540329154
"Dallas-Fort Worth-Arlington, TX",NA,19100,NA,NA,2013,0.690140397421893,0.149130003757699,0.275783919695041
"Dallas-Fort Worth-Arlington, TX",NA,19100,NA,NA,2017,0.694013933589184,0.153877835120837,0.284119663617624
"Houston-The Woodlands-Sugar Land, TX",NA,26420,NA,NA,1970,NA,NA,NA
"Houston-The Woodlands-Sugar Land, TX",NA,26420,NA,NA,1980,0.808049064925354,0.182703613033962,0.143011903847484
"Houston-The Woodlands-Sugar Land, TX",NA,26420,NA,NA,1990,0.67807627001386,0.178432845112042,0.204687702864571
"Houston-The Woodlands-Sugar Land, TX",NA,26420,NA,NA,2000,0.625711753762549,0.168272727059651,0.288354480061519
"Houston-The Woodlands-Sugar Land, TX",NA,26420,NA,NA,2009,0.64706351199517,0.168400915015339,0.333377074747734
"Houston-The Woodlands-Sugar Land, TX",NA,26420,NA,NA,2013,0.657456370371103,0.172485544747788,0.3565169851275
