"entity.name","CBSA","statefips","countyfips","an.pc.ch_1970_1980","an.pc.ch_1980_1990","an.pc.ch_1990_2000","an.pc.ch_2000_2009","an.pc.ch_2009_2013","an.pc.ch_2013_2017"
"Alexandria city, VA",47900,"51","510",-0.00721379185384787,0.00743439242682999,0.0143061268462221,0.0113900451827311,0.00271681906789301,0.0184839882302379
"Arlington County, VA",47900,"51","013",-0.0132872586809103,0.0113475651691751,0.0102851755211292,0.0095221428298016,0.0100377623251999,0.0165149648137253
"Atlanta-Sandy Springs-Roswell, GA",12060,NA,NA,0.0232993089030078,0.0276292559958774,0.0324397210039491,0.0232784811025293,0.00573824890453833,0.0145261603443623
"Boston-Cambridge-Newton, MA-NH",14460,NA,NA,0.000521672113413629,0.00483985400589937,0.00604152687664712,0.00305930294839839,0.00495420355077103,0.00894155531631879
"Calvert County, MD",47900,"24","009",0.0515687588544068,0.0394141931643958,0.0372551128668579,0.0184796904030732,0.00359953677779501,0.00414095037600104
"Charles County, MD",47900,"24","017",0.0422572576093,0.032960145640012,0.0175387314762359,0.0167670024342132,0.0151808072397888,0.0115832349707907
"Chicago-Naperville-Elgin, IL-IN-WI",16980,NA,NA,0.00213546003182294,0.00159096594268995,0.010614343330643,0.00435277659566995,0.000703867615617249,0.00159515424319867
"Clarke County, VA",47900,"51","043",0.0206968008884258,0.0194209140151159,0.00445272116274857,0.0140624019854264,-0.00294224061495996,0.00245426555588368
"Culpeper County, VA",47900,"51","047",0.0216424354365357,0.0205877756585989,0.0209324641034302,0.0301014494142435,0.0130486077204246,0.012692558366362
"Dallas-Fort Worth-Arlington, TX",19100,NA,NA,0.0222537151679269,0.0281027770957763,0.0258473896181542,0.019381599611788,0.0148787732616338,0.0193287899305319
"District of Columbia, DC",47900,"11","001",-0.016985566115841,-0.0050496057911479,-0.00591218999281367,0.00313565983748237,0.0128103438723191,0.0205338924036611
"Fairfax city, VA",47900,"51","600",-0.0124920417141958,0.00118939164866383,0.00913085218096725,0.00927227224253318,-0.00368572931454691,0.00593286365843548
"Fairfax County, VA",47900,"51","059",0.0271407698763651,0.0315824747805987,0.0169461256824251,0.00482093270743237,0.020903237995205,0.00912531784078574
"Falls Church city, VA",47900,"51","610",-0.012408067420124,0.000659930117230445,0.00801230167027231,0.00880711733736561,0.0312960223550194,0.0209349314065221
"Fauquier County, VA",47900,"51","061",0.0308014250060646,0.0306089723158847,0.0123336704760776,0.0205316681956628,-0.00119007365157531,0.00889463778711841
"Frederick County, MD",47900,"24","021",0.0301329731085413,0.0268899205182453,0.0262398063181811,0.0153391711599967,0.0135466778259645,0.00977498974518909
"Fredericksburg city, VA",47900,"51","630",0.00585952895361874,0.0216569318963634,0.0013157397559068,0.0162442070615175,0.0375562200010648,0.0203937971774986
"Houston-The Woodlands-Sugar Land, TX",26420,NA,NA,0.0357216868047599,0.0178568135391288,0.0224093735622793,0.0190443863510678,0.0211969920364266,0.0225617320193172
"Jefferson County, WV",47900,"54","037",0.03534460524642,0.0170247550409,0.0160721958789605,0.0206151052664691,0.0159219652869353,0.00702206376248249
"Los Angeles-Long Beach-Anaheim, CA",31080,NA,NA,0.0106818836958391,0.0180678870877607,0.00924462538849866,0.0035068079030817,0.00356180038290521,0.00603472149389628
"Loudoun County, VA",47900,"51","107",0.0435550804841482,0.0405331596371994,0.0677590654736761,0.0546953302213099,0.0406661757563138,0.0343467904997086
"Manassas city, VA",47900,"51","683",NA,0.0593835612943964,0.0228530169172533,0.00133283379125694,0.0251159266382195,0.0127791276107856
"Manassas Park city, VA",47900,"51","685",NA,0.00316816359801138,0.0424003229107075,0.0136303707765191,0.0656257792705688,0.0158814029059191
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,NA,NA,0.0498587612385089,0.0284033876917089,0.0860002458498462,0.0101140963622582,0.00844356296478566,0.0148254216417407
"Montgomery County, MD",47900,"24","031",0.0102177813918651,0.026800490939168,0.0142927166766061,0.00889980933692433,0.0111872795234276,0.0122577629991754
"New York-Newark-Jersey City, NY-NJ-PA",35620,NA,NA,-0.00371276003960261,0.00317958810352046,0.00842886998103403,0.00367382319645257,0.00172401450387039,0.00595336118532597
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,NA,NA,-0.00146568374642477,0.00366166843683562,0.00452630909951317,0.00428193870856535,0.00345172759167101,0.00302191115392558
"Prince George's County, MD",47900,"24","033",0.000679524475178894,0.00921474894626311,0.00944623954474331,0.00454569682880014,0.011267854880046,0.00890661266664239
"Prince William County, VA",47900,"51","153",0.0264234667688891,0.0399140280355475,0.0263865321048211,0.0278821835994522,0.0359152804629339,0.019662990216319
"Rappahannock County, VA",47900,"51","157",0.0158674271864779,0.00832568678586973,0.00530811847388435,0.00295183233739335,0.00947510626858206,-0.00300537150757618
"Spotsylvania County, VA",47900,"51","177",0.0740329809280029,0.0511023077771464,0.0454092389365853,0.0300916961263283,0.0119591553895027,0.0114764843001129
"Stafford County, VA",47900,"51","179",0.0498343110915716,0.0414174292982061,0.041188943839666,0.0293882001375445,0.02270295980873,0.0169891459707108
"Warren County, VA",47900,"51","187",0.032608299593829,0.0209542034685393,0.0189107446887713,0.0148091140476638,0.0118320851677196,0.00751745497915923
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,NA,NA,0.00796361247001727,0.0193289795800506,0.0151510854850445,0.0119023375296408,0.0168292340516878,0.0139647791535591
