"NAME","CBSA","year","total_population","s_lt_18","s_gt_59","year_pop_rank","pr2017","pr2017a"
"Atlanta-Sandy Springs-Roswell, GA",12060,1970,1852235,0.355669771924189,0.106642515663509,9,NA,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1980,2338211,0.296125114457164,0.116246993962478,9,NA,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990,3082308,0.26055377982992,0.11432439587478,9,NA,9
"Atlanta-Sandy Springs-Roswell, GA",12060,2000,4263438,0.265654150476681,0.10800626161328,10,NA,9
"Atlanta-Sandy Springs-Roswell, GA",12060,2009,5257114,0.271512278409789,0.123082550616175,9,NA,9
"Atlanta-Sandy Springs-Roswell, GA",12060,2013,5379176,0.261338725485093,0.143900292535511,9,NA,9
"Atlanta-Sandy Springs-Roswell, GA",12060,2017,5700990,0.251974657033252,0.163753839245464,9,9,9
"Boston-Cambridge-Newton, MA-NH",14460,1970,3918092,0.334127172103156,0.151723083582519,5,NA,10
"Boston-Cambridge-Newton, MA-NH",14460,1980,3938585,0.258859717385812,0.166176177485061,5,NA,10
"Boston-Cambridge-Newton, MA-NH",14460,1990,4133895,0.219893828943406,0.167774217777665,6,NA,10
"Boston-Cambridge-Newton, MA-NH",14460,2000,4391344,0.233756681325808,0.162876331255306,9,NA,10
"Boston-Cambridge-Newton, MA-NH",14460,2009,4513934,0.221853044373267,0.175326887810057,10,NA,10
"Boston-Cambridge-Newton, MA-NH",14460,2013,4604278,0.212755398349101,0.190500877662035,10,NA,10
"Boston-Cambridge-Newton, MA-NH",14460,2017,4771936,0.20360625121544,0.207226375207044,10,10,10
"Houston-The Woodlands-Sugar Land, TX",26420,1970,2195100,0.370557605576056,0.0968215571044599,8,NA,5
"Houston-The Woodlands-Sugar Land, TX",26420,1980,3137557,0.304390326613987,0.0941190869201739,7,NA,5
"Houston-The Woodlands-Sugar Land, TX",26420,1990,3750963,0.288500313119591,0.106141276253591,8,NA,5
"Houston-The Woodlands-Sugar Land, TX",26420,2000,4693161,0.289574766346179,0.107165298612172,8,NA,5
"Houston-The Woodlands-Sugar Land, TX",26420,2009,5570617,0.286441878879844,0.121647386635987,6,NA,5
"Houston-The Woodlands-Sugar Land, TX",26420,2013,6063540,0.276537962972125,0.136200635272465,5,NA,5
"Houston-The Woodlands-Sugar Land, TX",26420,2017,6636208,0.269523046896661,0.15245257532615,5,5,5
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,1970,968822,0.28833263489062,0.242700929582524,10,NA,8
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,1980,1595063,0.212333932891679,0.290560310157028,10,NA,8
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,1990,2119006,0.200712975800918,0.273147409681709,10,NA,8
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2000,5007564,0.235277472239995,0.206124375045431,6,NA,8
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2009,5484777,0.229831768912392,0.206213853361768,7,NA,8
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2013,5673185,0.213579144695616,0.216339498888191,8,NA,8
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2017,6019790,0.205664649431292,0.230142247487039,8,8,8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,1970,5317407,0.338847111007301,0.138783809477063,4,NA,7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,1980,5240039,0.272554459995431,0.164325685362265,4,NA,7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,1990,5435468,0.243971448272715,0.179022855069701,4,NA,7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2000,5687147,0.253272334968658,0.171735845758866,4,NA,7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2009,5910593,0.239926856746861,0.178438610136073,5,NA,7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2013,5992766,0.229966262657344,0.192180539003192,6,NA,7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2017,6065644,0.221365942346765,0.210188069065708,7,7,7
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,1970,3164346,0.347710711786891,0.0951229732778906,6,NA,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,1980,3426648,0.272194284326841,0.11417046629826,6,NA,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,1990,4157327,0.236307367690826,0.120921928922118,5,NA,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2000,4837428,0.252215846933536,0.124497356859885,7,NA,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2009,5384391,0.247648434149749,0.142200297118096,8,NA,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2013,5759330,0.236617974660247,0.156363500615523,7,NA,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2017,6090196,0.231734742198773,0.173439902426786,6,6,6
