"area_type","year","hts_1","hts_2","hts_3"
"Exurban",1970,NA,NA,NA
"Exurban",1980,0.492676103089361,0.328809540744956,0.178514356165683
"Exurban",1990,0.425854037267081,0.363167828106852,0.210978134626067
"Exurban",2000,0.411736909610495,0.348047973717963,0.240215116671542
"Exurban",2009,0.42456857321317,0.321911305434104,0.253520121352726
"Exurban",2013,0.420842597913075,0.33934760703192,0.239809795055005
"Exurban",2017,0.411635339907485,0.345663395265795,0.242701264826719
"Suburban",1970,NA,NA,NA
"Suburban",1980,0.422241107759955,0.327926321769534,0.249832570470512
"Suburban",1990,0.354083291719818,0.365116592787885,0.280800115492298
"Suburban",2000,0.361932180521124,0.341843064159269,0.296224755319607
"Suburban",2009,0.363305821645265,0.320477925145526,0.316216253209208
"Suburban",2013,0.362378960937734,0.328396213688281,0.309224825373984
"Suburban",2017,0.35380007626096,0.341205015496855,0.304994908242185
"Urban",1970,NA,NA,NA
"Urban",1980,0.234067745083921,0.288361947124487,0.477570307791591
"Urban",1990,0.196681083804865,0.29105210115792,0.512266815037215
"Urban",2000,0.201568135565899,0.261918434786113,0.536513429647988
"Urban",2009,0.212399043294395,0.22816586858668,0.559435088118925
"Urban",2013,0.207763441266483,0.234095760758681,0.558140797974837
"Urban",2017,0.218993758881677,0.233008432860089,0.547997808258234
