"NAME","county_name","CBSA","statefips","countyfips","year","s_white","s_aa","s_hisp"
NA,"District of Columbia, DC",47900,"11","001",2009,0.358550591146316,0.551687277905896,0.0846536479089378
NA,"District of Columbia, DC",47900,"11","001",2013,0.400633868876651,0.501363480046693,0.0960312962666964
NA,"District of Columbia, DC",47900,"11","001",2017,0.406714248108615,0.477493006301393,0.10682623652012
NA,"District of Columbia, DC",47900,"11","001",2000,0.306447411892829,0.59996084319974,0.0786894358798655
NA,"District of Columbia, DC",47900,"11","001",1990,0.296078431372549,0.658676882517713,0.0531471412094249
NA,"District of Columbia, DC",47900,"11","001",1980,0.286068556693763,0.707987837069367,0.0278491007044912
NA,"District of Columbia, DC",47900,"11","001",1970,NA,NA,NA
NA,"Arlington County, VA",47900,"51","013",2009,0.71330636370243,0.081030013807805,0.167069596182263
NA,"Arlington County, VA",47900,"51","013",2013,0.712595585052662,0.0836168499634647,0.152698721499016
NA,"Arlington County, VA",47900,"51","013",2017,0.714935477968406,0.0883442104437687,0.155475877212091
NA,"Arlington County, VA",47900,"51","013",2000,0.690377032826084,0.0942502889898814,0.185861400980718
NA,"Arlington County, VA",47900,"51","013",1990,0.764876912996677,0.104992511817288,0.134687836383208
NA,"Arlington County, VA",47900,"51","013",1980,0.874297996710332,0.0920517172458535,0.0575429721033559
NA,"Arlington County, VA",47900,"51","013",1970,NA,NA,NA
NA,"Alexandria city, VA",47900,"51","510",2009,0.644708051023352,0.21838304099739,0.138928171897756
NA,"Alexandria city, VA",47900,"51","510",2013,0.640579326856157,0.217776509562651,0.163845661312324
NA,"Alexandria city, VA",47900,"51","510",2017,0.623172387046733,0.220561049705901,0.167409992889923
NA,"Alexandria city, VA",47900,"51","510",2000,0.598481482347622,0.221728522095679,0.146137835878487
NA,"Alexandria city, VA",47900,"51","510",1990,0.691715460097317,0.22087009704721,0.0946727467328638
NA,"Alexandria city, VA",47900,"51","510",1980,0.751271592857766,0.226668087621225,0.0411850761018049
NA,"Alexandria city, VA",47900,"51","510",1970,NA,NA,NA
